r_setpoint_ohm,r_actual_ohm,v_out_V,i_measured_A,ocv_V,esr_ohm,v_predicted_V,voltage_error_mV,r_inferred_ohm,soc_pct,used_capacity_mAh,iteration,phase,t_s,cycle
320000,nan,4.2,-1.0419997124699876e-05,4.3103346824646,0.44669413566589355,4.310339337016209,-110.33933701620846,403071.12849812536,100.0,0.0,3,sleep,0.0,0
320000,nan,4.2,-3.4400018193991855e-06,4.3103346824646,0.44669413566589355,4.310336219093239,-110.33621909323887,1220929.586814449,100.0,0.0,4,sleep,0.0629999999946449,0
320000,nan,4.2,-3.4400018193991855e-06,4.3103346824646,0.44669413566589355,4.310336219093239,-110.33621909323887,1220929.586814449,100.0,0.0,4,sleep,0.11000000000058208,0
320000,nan,4.2,-3.4400018193991855e-06,4.3103346824646,0.44669413566589355,4.310336219093239,-110.33621909323887,1220929.586814449,100.0,0.0,4,sleep,0.15600000000267755,0
320000,nan,4.2,-3.4400018193991855e-06,4.3103346824646,0.44669413566589355,4.310336219093239,-110.33621909323887,1220929.586814449,100.0,0.0,4,sleep,0.20299999999406282,0
320000,nan,4.2,-3.4400018193991855e-06,4.3103346824646,0.44669413566589355,4.310336219093239,-110.33621909323887,1220929.586814449,100.0,0.0,4,sleep,0.26600000000325963,0
320000,nan,4.2,-3.4400018193991855e-06,4.3103346824646,0.44669413566589355,4.310336219093239,-110.33621909323887,1220929.586814449,100.0,0.0,4,sleep,0.3129999999946449,0
320000,nan,4.2,-3.4400018193991855e-06,4.3103346824646,0.44669413566589355,4.310336219093239,-110.33621909323887,1220929.586814449,100.0,0.0,4,sleep,0.3600000000005821,0
320000,nan,4.2,-3.4400018193991855e-06,4.3103346824646,0.44669413566589355,4.310336219093239,-110.33621909323887,1220929.586814449,100.0,0.0,4,sleep,0.40600000000267755,0
320000,nan,4.2,-3.4400018193991855e-06,4.3103346824646,0.44669413566589355,4.310336219093239,-110.33621909323887,1220929.586814449,100.0,0.0,4,sleep,0.4529999999940628,0
320000,nan,4.2,-3.4400018193991855e-06,4.3103346824646,0.44669413566589355,4.310336219093239,-110.33621909323887,1220929.586814449,100.0,0.0,4,sleep,0.5160000000032596,0
320000,nan,4.2,-1.2085002708772663e-05,4.3103346824646,0.44669413566589355,4.310340080764439,-110.34008076443857,347538.19268498506,100.0,0.0,5,sleep,0.5629999999946449,0
320000,nan,4.2,-1.2085002708772663e-05,4.3103346824646,0.44669413566589355,4.310340080764439,-110.34008076443857,347538.19268498506,100.0,0.0,5,sleep,0.6100000000005821,0
320000,nan,4.2,-1.2085002708772663e-05,4.3103346824646,0.44669413566589355,4.310340080764439,-110.34008076443857,347538.19268498506,100.0,0.0,5,sleep,0.6560000000026776,0
320000,nan,4.2,-1.2085002708772663e-05,4.3103346824646,0.44669413566589355,4.310340080764439,-110.34008076443857,347538.19268498506,100.0,0.0,5,sleep,0.7029999999940628,0
320000,nan,4.2,-1.2085002708772663e-05,4.3103346824646,0.44669413566589355,4.310340080764439,-110.34008076443857,347538.19268498506,100.0,0.0,5,sleep,0.7660000000032596,0
320000,nan,4.2,-1.2085002708772663e-05,4.3103346824646,0.44669413566589355,4.310340080764439,-110.34008076443857,347538.19268498506,100.0,0.0,5,sleep,0.8129999999946449,0
320000,nan,4.2,-1.2085002708772663e-05,4.3103346824646,0.44669413566589355,4.310340080764439,-110.34008076443857,347538.19268498506,100.0,0.0,5,sleep,0.8600000000005821,0
320000,nan,4.2,-1.2085002708772663e-05,4.3103346824646,0.44669413566589355,4.310340080764439,-110.34008076443857,347538.19268498506,100.0,0.0,5,sleep,0.9060000000026776,0
320000,nan,4.2,-1.2085002708772663e-05,4.3103346824646,0.44669413566589355,4.310340080764439,-110.34008076443857,347538.19268498506,100.0,0.0,5,sleep,0.9529999999940628,0
320000,nan,4.2,-1.2085002708772663e-05,4.3103346824646,0.44669413566589355,4.310340080764439,-110.34008076443857,347538.19268498506,100.0,0.0,5,sleep,1.0160000000032596,0
320000,nan,4.2,-1.2085002708772663e-05,4.3103346824646,0.44669413566589355,4.310340080764439,-110.34008076443857,347538.19268498506,100.0,0.0,5,sleep,1.062999999994645,0
320000,nan,4.2,-3.830001332971733e-06,4.3103346824646,0.44669413566589355,4.310336393303735,-110.33639330373468,1096605.3624689425,100.0,0.0,6,sleep,1.110000000000582,0
320000,nan,4.2,-3.830001332971733e-06,4.3103346824646,0.44669413566589355,4.310336393303735,-110.33639330373468,1096605.3624689425,100.0,0.0,6,sleep,1.1560000000026776,0
320000,nan,4.2,-3.830001332971733e-06,4.3103346824646,0.44669413566589355,4.310336393303735,-110.33639330373468,1096605.3624689425,100.0,0.0,6,sleep,1.2029999999940628,0
320000,nan,4.2,-3.830001332971733e-06,4.3103346824646,0.44669413566589355,4.310336393303735,-110.33639330373468,1096605.3624689425,100.0,0.0,6,sleep,1.2660000000032596,0
320000,nan,4.2,-3.830001332971733e-06,4.3103346824646,0.44669413566589355,4.310336393303735,-110.33639330373468,1096605.3624689425,100.0,0.0,6,sleep,1.312999999994645,0
320000,nan,4.2,-3.830001332971733e-06,4.3103346824646,0.44669413566589355,4.310336393303735,-110.33639330373468,1096605.3624689425,100.0,0.0,6,sleep,1.360000000000582,0
320000,nan,4.2,-3.830001332971733e-06,4.3103346824646,0.44669413566589355,4.310336393303735,-110.33639330373468,1096605.3624689425,100.0,0.0,6,sleep,1.4060000000026776,0
320000,nan,4.2,-3.830001332971733e-06,4.3103346824646,0.44669413566589355,4.310336393303735,-110.33639330373468,1096605.3624689425,100.0,0.0,6,sleep,1.4529999999940628,0
320000,nan,4.2,-3.830001332971733e-06,4.3103346824646,0.44669413566589355,4.310336393303735,-110.33639330373468,1096605.3624689425,100.0,0.0,6,sleep,1.5160000000032596,0
320000,nan,4.2,-3.830001332971733e-06,4.3103346824646,0.44669413566589355,4.310336393303735,-110.33639330373468,1096605.3624689425,100.0,0.0,6,sleep,1.562999999994645,0
