r_setpoint_ohm,r_actual_ohm,v_out_V,i_measured_A,ocv_V,esr_ohm,v_predicted_V,voltage_error_mV,r_inferred_ohm,soc_pct,used_capacity_mAh,iteration
100000,inf,1.610662424122307,6.246794328035321e-06,1.6106655363289064,0.4982085908146291,1.610662424122307,0.0,257838.23502780127,99.99999967438565,4.403648304362696e-06,6
10000,10000,1.610662421758426,6.243461939448025e-06,1.6106655323045378,0.49820854870758013,1.610662421758426,0.0,257975.853361384,99.99999954261352,6.185750856082416e-06,8
1000,1000,1.6106624273060424,6.2243871070677415e-06,1.610665528348652,0.4982085073170666,1.6106624273060424,0.0,258766.42946534418,99.99999941308374,7.937527376361638e-06,10
100,100,1.6002243437980956,0.020946232602000237,1.6106583651934316,0.4981335590792394,1.6002243437980956,0.0,76.39676185230961,99.9997648659022,0.003179982330866426,13
50,50,1.5874383021897356,0.04659365490078926,1.610638462630498,0.49792531816106533,1.5874383021897356,0.0,34.06983859862098,99.99911318519756,0.011993391978880278,15
25,25,1.5785822299781378,0.06434298306703568,1.6105826683803153,0.49734154179388673,1.5785822299781378,0.0,24.5338676376489,99.9972862829842,0.03670064121638536,18
12,12,1.5173618138444758,0.18766409158706665,1.6104661242742686,0.4961221384571441,1.5173618138444758,0.0,8.08552025596488,99.99347021440026,0.08830962002372288,20
100000,inf,1.6104225515774688,6.295193543337518e-06,1.6104256720978987,0.4956988865183092,1.6104225515774688,0.0,255817.79821239176,99.99214566625592,0.10622297131883059,22
