r_setpoint_ohm,r_actual_ohm,v_out_V,i_measured_A,ocv_V,esr_ohm,v_predicted_V,voltage_error_mV,r_inferred_ohm,soc_pct,used_capacity_mAh,iteration
100000,inf,3.2006087247322106,1.246641932084458e-05,3.200613021850586,0.34469547867774963,3.2006087247322106,0.0,256738.41400317784,99.99999947680178,8.852786577354214e-06,6
10000,10000,3.2006087359987276,1.2433733900252264e-05,3.200613021850586,0.34469547867774963,3.2006087359987276,0.0,257413.3210244906,99.99999926645143,1.2412024301123028e-05,8
1000,1000,3.200608733108896,1.2442117622413207e-05,3.200613021850586,0.34469547867774963,3.200608733108896,0.0,257239.87107655418,99.99999905598725,1.597318803785826e-05,10
100,100,3.1899333824864886,0.03098282404243946,3.200613021850586,0.34469547867774963,3.1899333824864886,0.0,102.95812215558534,99.99974373878632,0.00433607334394284,13
50,50,3.175916762436464,0.07164660096168518,3.200613021850586,0.34469547867774963,3.175916762436464,0.0,44.3275287286115,99.9988920912504,0.018746393680177102,15
25,25,3.151712510087267,0.1418658345937729,3.200613021850586,0.34469547867774963,3.151712510087267,0.0,22.216148934745767,99.99715589723074,0.048123701702526195,17
12,12,3.1067683206955286,0.26837781071662903,3.1999046883316726,0.3470345308632223,3.1067683206955286,0.0,11.576099799010057,99.99207231162494,0.13414062061156043,20
100000,inf,3.1986742995299453,1.2040908586641308e-05,3.1986785268948705,0.3510835494567431,3.1986742995299453,0.0,265650.5758276987,99.98988731786443,0.17111185424223857,22
